Location,NumberofHouseholds,Percentageofhouseholdswithpets,NumberofPetHouseholds,PercentageofDogOwners,DogOwningHouseholds,MeanDogs,MeanNumberofDogsperhousehold,DogPopulation,PercentageofCatOwners,CatOwningHouseholds,MeanCats,MeanNumberofCats,CatPopulation,State,State Code,Region,Division
Alabama,1828,60,1088,44,807,1.75,2,1410,27,501,2.50,3,1252,Alabama,AL,South,East South Central
Arizona,2515,60,1497,40,1008,1.78,2,1798,30,743,1.94,2,1438,Arizona,AZ,West,Mountain
Arkansas,1148,62,716,48,550,1.99,2,1097,31,351,2.31,2,810,Arkansas,AR,South,West South Central
California,12974,53,6865,33,4260,1.57,2,6687,28,3687,1.93,2,7118,California,CA,West,Pacific
Colorado,1986,61,1217,43,845,1.60,2,1349,32,642,1.86,2,1191,Colorado,CO,West,Mountain
Connecticut,1337,54,728,28,379,1.34,1,507,32,427,1.86,2,796,Connecticut,CT,Northeast,New England
Delaware,334,57,189,34,113,1.44,1,163,34,113,1.65,2,187,Delaware,DE,South,South Atlantic
District of Columbia,287,22,63,13,38,1.11,1,42,12,33,1.91,2,63,District of Columbia,DC,South,South Atlantic
Florida,7609,54,4138,36,2718,1.55,2,4210,27,2079,2.10,2,4375,Florida,FL,South,South Atlantic
Georgia,3798,55,2093,40,1522,1.63,2,2479,27,1037,2.08,2,2162,Georgia,GA,South,South Atlantic
Idaho,568,62,352,43,242,1.48,2,357,35,196,2.01,2,393,Idaho,ID,West,Mountain
Illinois,5026,52,2602,32,1627,1.45,2,2365,26,1321,1.86,2,2453,Illinois,IL,Midwest,East North Central
Indiana,2478,60,1484,40,989,1.64,2,1619,34,852,2.24,2,1912,Indiana,IN,Midwest,East North Central
Iowa,1219,54,654,33,407,1.50,2,610,30,370,2.18,2,805,Iowa,IA,Midwest,West North Central
Kansas,1133,61,691,42,480,1.61,2,774,33,378,1.93,2,731,Kansas,KS,Midwest,West North Central
Kentucky,1777,62,1094,46,816,1.88,2,1531,37,654,2.06,2,1349,Kentucky,KY,South,East South Central
Louisiana,1702,55,937,36,619,1.80,2,1115,26,441,1.99,2,877,Louisiana,LA,South,West South Central
Maine,548,63,345,35,190,1.58,2,300,46,254,1.96,2,498,Maine,ME,Northeast,New England
Maryland,2169,52,1134,31,667,1.37,1,915,30,645,2.60,3,1677,Maryland,MD,South,South Atlantic
Massachusetts,2618,50,1318,24,618,1.38,1,850,34,892,1.79,2,1593,Massachusetts,MA,Northeast,New England
Michigan,3804,55,2108,35,1318,1.54,2,2036,31,1192,2.03,2,2420,Michigan,MI,Midwest,East North Central
Minnesota,2163,53,1146,32,690,1.35,1,934,30,643,1.97,2,1264,Minnesota,MN,Midwest,West North Central
Mississippi,1115,56,629,45,504,1.68,2,846,29,324,2.06,2,668,Mississippi,MS,South,East South Central
Missouri,2498,61,1534,46,1148,1.72,2,1978,32,805,2.05,2,1653,Missouri,MO,Midwest,West North Central
Montana,410,61,251,41,169,1.67,2,282,34,138,2.01,2,277,Montana,MT,West,Mountain
Nebraska,710,51,364,34,240,1.56,2,374,31,222,2.32,2,514,Nebraska,NE,Midwest,West North Central
Nevada,986,56,548,37,366,1.58,2,578,30,299,2.09,2,625,Nevada,NV,West,Mountain
New Hampshire,508,57,289,30,154,1.38,1,212,34,174,1.78,2,309,New Hampshire,NH,Northeast,New England
New Jersey,3177,51,1611,32,1028,1.30,1,1340,25,803,1.83,2,1468,New Jersey,NJ,Northeast,Middle Atlantic
New Mexico,773,68,523,46,356,1.97,2,703,32,247,2.16,2,533,New Mexico,NM,West,Mountain
New York,7512,51,3802,29,2177,1.40,1,3054,29,2189,1.95,2,4261,New York,NY,Northeast,Middle Atlantic
North Carolina,3701,56,2089,40,1491,1.69,2,2518,30,1090,2.04,2,2220,North Carolina,NC,South,South Atlantic
North Dakota,272,54,147,36,98,1.42,1,139,31,85,2.05,2,174,North Dakota,ND,Midwest,West North Central
Ohio,4661,57,2677,37,1708,1.60,2,2730,33,1553,2.44,2,3786,Ohio,OH,Midwest,East North Central
Oklahoma,1479,59,872,43,638,2.08,2,1327,33,482,2.16,2,1041,Oklahoma,OK,South,West South Central
Oregon,1505,64,957,39,584,1.57,2,917,40,605,1.96,2,1185,Oregon,OR,West,Pacific
Pennsylvania,5172,57,2942,33,1702,1.46,2,2485,34,1748,2.03,2,3544,Pennsylvania,PA,Northeast,Middle Atlantic
Rhode Island,434,53,230,29,127,1.27,1,161,28,120,1.77,2,212,Rhode Island,RI,Northeast,New England
South Carolina,1759,54,951,39,678,1.76,2,1191,28,490,2.12,2,1039,South Carolina,SC,South,South Atlantic
South Dakota,333,66,219,43,143,1.54,2,220,39,130,2.23,2,290,South Dakota,SD,Midwest,West North Central
Tennessee,2583,60,1540,44,1140,1.89,2,2157,30,770,2.27,2,1749,Tennessee,TN,South,East South Central
Texas,9002,59,5265,44,3960,1.81,2,7163,28,2544,2.19,2,5565,Texas,TX,South,West South Central
Utah,930,51,476,29,273,1.50,2,410,25,229,1.99,2,455,Utah,UT,West,Mountain
Vermont,265,71,188,38,100,1.42,1,142,50,131,1.79,2,234,Vermont,VT,Northeast,New England
Virginia,3017,53,1611,35,1069,1.59,2,1699,29,876,2.12,2,1855,Virginia,VA,South,South Atlantic
Washington,2632,63,1649,36,954,1.69,2,1609,39,1028,1.79,2,1844,Washington,WA,West,Pacific
West Virginia,765,62,475,46,350,1.85,2,648,38,291,2.16,2,628,West Virginia,WV,South,South Atlantic
Wisconsin,2350,58,1352,34,796,1.43,1,1138,33,776,1.95,2,1510,Wisconsin,WI,Midwest,East North Central
Wyoming,221,62,137,39,86,1.45,2,125,34,75,1.92,2,144,Wyoming,WY,West,Mountain
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
