row,column,pet,percentage,population,overall_per,,,,,,,,,,
1,1,Cat,4%,73147,52%,,,,,,,,,,
1,2,Cat,8%,73147,52%,,,,,,,,,,
1,3,Cat,12%,73147,52%,,,,,,,,,,
1,4,Cat,16%,73147,52%,,,,,,,,,,
1,5,Cat,20%,73147,52%,,,,,,,,,,
2,1,Cat,24%,73147,52%,,,,,,,,,,
2,2,Cat,28%,73147,52%,,,,,,,,,,
2,3,Cat,32%,73147,52%,,,,,,,,,,
2,4,Cat,36%,73147,52%,,,,,,,,,,
2,5,Cat,40%,73147,52%,,,,,,,,,,
3,1,Cat,44%,73147,52%,,,,,,,,,,
3,2,Cat,48%,73147,52%,,,,,,,,,,
3,3,Cat,52%,73147,52%,,,,,,,,,,
3,4,Dog,56%,69294,48%,,,,,,,,,,
3,5,Dog,60%,69294,48%,,,,,,,,,,
4,1,Dog,64%,69294,48%,,,,,,,,,,
4,2,Dog,68%,69294,48%,,,,,,,,,,
4,3,Dog,72%,69294,48%,,,,,,,,,,
4,4,Dog,76%,69294,48%,,,,,,,,,,
4,5,Dog,80%,69294,48%,,,,,,,,,,
5,1,Dog,84%,69294,48%,,,,,,,,,,
5,2,Dog,88%,69294,48%,,,,,,,,,,
5,3,Dog,92%,69294,48%,,,,,,,,,,
5,4,Dog,96%,69294,48%,,,,,,,,,,
5,5,Dog,100%,69294,48%,,,,,,,,,,
